date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:41:52	1331/1331	---MCZ	404	error ('Not%20Found')	text/html	etag:1743266888-ssl-df	https://omollo-victor-potfolio.netlify.app/robots.txt		(from )
13:41:53	30323/30323	---MCZ	200	added ('OK')	text/html	etag:%22d43e5e77965497c619171efbef3f3c4f-ssl-df%22	https://omollo-victor-potfolio.netlify.app/	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/index.html	(from )
13:41:54	850/850	---M--	200	added ('OK')	image/svg+xml	etag:%224ec12f53c189d0def9e0b282ee555a0c-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/favicon/favicon.svg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/favicon/favicon.svg	(from https://omollo-victor-potfolio.netlify.app/)
13:41:55	782/782	---M--	200	added ('OK')	application/octet-stream	etag:%22f8d9db1ea544916c3710dee3e1050c28-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/favicon/site.webmanifest	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/favicon/site.webmanifest	(from https://omollo-victor-potfolio.netlify.app/)
13:41:56	38288/38288	---MCZ	200	added ('OK')	text/css	etag:%22f5fe5a5fc6c126cde5759acb7500ceb0-ssl-df%22	https://omollo-victor-potfolio.netlify.app/styles.css	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/styles.css	(from https://omollo-victor-potfolio.netlify.app/)
13:41:56	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/Users/user/Pictures/portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://omollo-victor-potfolio.netlify.app/)
13:41:58	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1743266888-ssl-df	https://omollo-victor-potfolio.netlify.app/assets/images/profile-v2.jpg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/images/profile-v2.5.delayed	(from https://omollo-victor-potfolio.netlify.app/)
13:41:58	860701/860701	---MCZ	200	added ('OK')	application/pdf	etag:%22b18d09f1c44c87be9b66c89accc86f0e-ssl-df%22	https://omollo-victor-potfolio.netlify.app/assets/files/victor_omollo_resume.pdf	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/files/victor_omollo_resume.pdf	(from https://omollo-victor-potfolio.netlify.app/)
13:41:59	26838/26838	---M--	200	added ('OK')	image/jpeg	etag:%2200a453a70fdab49284554367bb403673-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/images/profile.jpg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/images/profile.jpg	(from https://omollo-victor-potfolio.netlify.app/)
13:42:00	119294/119294	---M--	200	added ('OK')	image/jpeg	etag:%22672211c968f8ab981c2426acf7c1fd0d-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/images/mmu-digital-platform.jpg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/images/mmu-digital-platform.jpg	(from https://omollo-victor-potfolio.netlify.app/)
13:42:01	296567/296567	---M--	200	added ('OK')	image/jpeg	etag:%22f8bf254900ddf8b5ab9b4fa0527b000b-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/images/kenyan-recipe.jpg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/images/kenyan-recipe.jpg	(from https://omollo-victor-potfolio.netlify.app/)
13:42:01	218963/218963	---M--	200	added ('OK')	image/jpeg	etag:%22f353bb7ce11d38c79a43da47dda59c95-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/images/mmu-lms.jpg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/images/mmu-lms.jpg	(from https://omollo-victor-potfolio.netlify.app/)
13:42:02	228397/228397	---M--	200	added ('OK')	image/jpeg	etag:%22b7aa254017d592e5e9cd9da7fae60b22-ssl%22	https://omollo-victor-potfolio.netlify.app/assets/images/govt-projects.jpg	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/assets/images/govt-projects.jpg	(from https://omollo-victor-potfolio.netlify.app/)
13:42:03	25023/25023	---MCZ	200	added ('OK')	application/javascript	etag:%227b97152e5d1abd4b86763b5f6d1921a5-ssl-df%22	https://omollo-victor-potfolio.netlify.app/script.js	C:/Users/user/Pictures/portfolio/omollo-victor-potfolio.netlify.app/script.js	(from https://omollo-victor-potfolio.netlify.app/)
